species,clonality,height,GF,lifespan,cotyledon,latitude,longitude,altitude,SR,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,aridity,NPP,bd,ph,soc,tn
Acacia_anasilla,0,2,W,Perennial,Eudicot,-17.186133335,127.46664999999999,461,22.18058333333335,26.15300005674365,13.37666634718575,56.11911175419715,386.052123353706,37.255998611450195,13.394000053405751,23.6439990997314,28.7246669133504,20.8486666679382,30.1423331896464,20.8486666679382,712,184,1,113.362944917204,464,9,343.5,9,0.324,112.94999999999999,1.39999997615814,6.69999980926514,12.9499998092651,1.10000002384186
Acacia_anastema,0,6,W,Perennial,Eudicot,-25.366683335,114.8003,140,21.877499999999998,23.8413333594799,14.4436667561531,47.67313593694385,581.7105500768184,37.7200012207031,7.523999929428101,30.0760006904602,17.848666826884,22.9613324801127,30.752333164215102,16.6373337109884,239,43,4,66.2601426310275,109,16,73,99.5,0.11665,146.25,1.29999995231628,7.80000019073486,16.2000007629395,0.800000011920929
Acacia_anaticeps,0,7,W,Perennial,Eudicot,-19.806257915,120.74000000000001,28.5,22.66754166666665,26.762833376725503,14.054666519165,55.96163503332935,388.084978749168,38.5040016174316,13.6999998092651,24.7200002670288,31.0946667989095,24.6700000762939,31.20566654205325,21.4770832061768,429,114.5,1,108.292513685256,291.5,6,253,30,0.1717,72.9,1.39999997615814,7.09999990463257,10.6999998092651,0.5
Acacia_anceps,0,3,W,Perennial,Eudicot,-33.65,135.0291835,16,18.869500000000002,16.6101850867271,9.81395814816157,51.391826255705055,329.7577371830745,25.5,6.72749996185303,18.8384613990784,12.4759256045024,20.6027776400248,20.628458738327,12.426389058431,376,62,11,56.2863156820014,171,39,42,171,0.323,622,1.10000002384186,7.40000009536743,54.20000076293945,1.70000004768372
Acacia_ancistrocarpa,0,4,W,Perennial,Eudicot,-20.59856155,129.97752,344.5,22.370791666666648,25.5295834541321,15.1366663773855,50.702014581043755,523.0719315407,38.8359985351562,9.60000038146973,29.3320002555847,30.57466681798295,19.56599990526835,30.884333292643248,18.499999920527152,373,94,2,98.0610449250259,230,11,212,16,0.1832,92.2,1.39999997615814,7.40000009536743,9.10000038146973,0.5
Acacia_ancistrophylla,0,2.5,W,Perennial,Eudicot,-33,135.916667,149,19.1395833333333,17.1725001037121,12.6976666649183,48.6723468606334,472.649933874904,29.2040004730225,3.36400008201599,25.8920001983643,12.0146666367849,21.7761907577515,22.906666914622,11.3173331419627,307,38,14,33.739255394178,109,47,50,107,0.2229,310.1,1.20000004768372,7.90000009536743,24.2999992370605,1.10000002384186
Acacia_andrewsii,0,2,W,Perennial,Eudicot,-29.5691,116.9138243,341,20.4038333333333,19.77241670091945,13.101000269254,45.39882025902435,581.091196319258,32.9799995422363,4.294000148773195,28.92400002479555,13.968000094095899,22.6646669705709,26.4980001449585,12.65200022856395,319,48,10,50.5714571688175,132.5,36,50,126.5,0.1911,255.2,1.20000004768372,6.80000019073486,15.5,0.800000011920929
Acacia_aneura,0,18,W,Perennial,Eudicot,-27.75,133.55,382,21.1941666666667,20.7391666372617,13.8473337888718,45.4100900373054,616.080542168841,35.3559989929199,4.39599990844727,30.5799980163574,27.4459994633993,16.171999613444,28.1013333002726,12.8959999879201,252,36,9,40.1373128720179,91,34,80,43,0.141,103.3,1.29999995231628,7.59999990463257,14.5,0.5
Acacia_anfractuosa,0,4,W,Perennial,Eudicot,-31.21666667,120.0833,436,19.6985833333333,17.3279999395212,12.7071665326754,45.6186091887529,554.493890809678,30.4799995422363,2.682000041008,27.8320000171661,11.3773332039515,22.3973333040873,24.12466645240785,10.5603330930074,290,41,14,40.71182421502595,118,45,50,110,0.1944,248.8,1.20000004768372,7,16.3499994277954,0.699999988079071
Acacia_angusta,0,6,W,Perennial,Eudicot,-24.08176,148.08859999999999,345,19.96425,21.28633338212965,12.86966653664905,51.2137974139399,469.434195742189,33.3400001525879,7.38000011444092,25.8639984130859,26.4260002772013,15.076333443323751,26.4260002772013,14.806333422660849,654,103,21,54.695496519412,295,69,295,70,0.42769999999999997,341.2,1.29999995231628,6.59999990463257,25.2999992370605,1.60000002384186
